epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
91,68.6277,1.18451,1.76765,1.04145,0.61966,0.4288,0.5073,0.37133,1.0969,1.94784,1.02844,8.91729e-05,8.91729e-05,8.91729e-05
92,69.3896,1.15331,1.70081,1.10646,0.6376,0.43031,0.51634,0.38188,1.06738,1.84599,1.01819,8.19745e-05,8.19745e-05,8.19745e-05
93,70.1326,1.22448,1.42337,1.13278,0.6376,0.43031,0.51634,0.38188,1.06738,1.84599,1.01819,7.45962e-05,7.45962e-05,7.45962e-05
94,70.8377,1.20641,1.73777,1.14723,0.6376,0.43031,0.51634,0.38188,1.06738,1.84599,1.01819,6.70378e-05,6.70378e-05,6.70378e-05
95,71.5391,1.36694,1.67912,1.14317,0.6376,0.43031,0.51634,0.38188,1.06738,1.84599,1.01819,5.92995e-05,5.92995e-05,5.92995e-05
96,72.2857,1.40914,1.60839,1.10727,0.64191,0.45054,0.51867,0.38465,1.04464,1.76988,1.00986,5.13812e-05,5.13812e-05,5.13812e-05
97,73.0031,1.12315,1.76134,1.11367,0.64191,0.45054,0.51867,0.38465,1.04464,1.76988,1.00986,4.32829e-05,4.32829e-05,4.32829e-05
98,73.7156,1.28977,1.88892,1.15525,0.64191,0.45054,0.51867,0.38465,1.04464,1.76988,1.00986,3.50047e-05,3.50047e-05,3.50047e-05
99,74.4251,1.1361,1.70399,1.11305,0.64191,0.45054,0.51867,0.38465,1.04464,1.76988,1.00986,2.65464e-05,2.65464e-05,2.65464e-05
100,75.2543,1.2038,1.90808,1.08321,0.64915,0.45324,0.5248,0.39505,1.02534,1.72687,1.00258,1.79082e-05,1.79082e-05,1.79082e-05
